ID,Title,Author,Date,Votes,Tags
24240,Save Opened files in Temporary Folder,Christian.Rauch,2018-01-31T11:10:59.845Z,158,DOWNLOADS:SAVING FILES,55,4564
24141,Support for MIME Types,Pesala,2018-01-31T09:30:45.384Z,125,,18,3118
25289,Multi-Account Containers,VENIX,2018-02-20T23:46:55.244Z,117,PRIVACY:COOKIES:NICE TO HAVE,55,12103
24238,Master Password Protected Mode to Protect your Profile,awking,2018-01-31T11:09:35.034Z,109,PRIVACY:PASSWORD:PROFILE:MASTERPASSWORD,33,3519
24115,RSS and Atom Reader,zakius,2018-01-31T08:33:55.291Z,98,IN PROGRESS:NEWSFEED:RSS,40,5427
24116,RegEx Support for "Find in Page",solidsnake,2018-01-31T08:37:07.538Z,97,FIND IN PAGE:NICE TO HAVE:REGEX,24,1791
24127,Download Manager,Pesala,2018-01-31T09:20:41.797Z,97,DOWNLOADS:PIPELINE:DOWNLOADMANAGER,17,2840
24149,Auto-Reload Options,LonM,2018-01-31T09:33:49.949Z,96,PIPELINE:REFRESH PAGE,31,5282
24235,Better Cookie Management,luetage,2018-01-31T11:05:08.804Z,92,COOKIES:PIPELINE,22,4424
36007,Sync search engines,Omen_20,2019-03-29T20:19:00.165Z,88,SYNC:SEARCH ENGINES,24,884
25222,User Agent Spoofing,Pesala,2018-02-19T10:32:34.685Z,85,PIPELINE:USER AGENT:SITE SETTINGS,35,6488
24248,Option to delete items from disk inside the download panel,krabbel,2018-01-31T11:37:55.472Z,84,DOWNLOADS:PIPELINE:DELETE,19,2716
24210,Upgrade Vivaldi on Next Restart,luetage,2018-01-31T10:32:26.406Z,77,VIVALDI:PIPELINE:UPDATE:RESTART,6,1485
24131,Show Icons in Search with.. Menu,Pesala,2018-01-31T09:22:57.513Z,63,GUI:ICONS:MENUS,9,1022
24136,List Existing Sessions on Save Session,Pesala,2018-01-31T09:28:01.462Z,61,SESSIONS,9,1650
24145,Preserve Custom Modifications Across Upgrades,LonM,2018-01-31T09:33:02.161Z,59,MODDING:CUSTOMIZE,14,1404
24478,Sync saved sessions,ROTFL,2018-02-01T22:53:24.887Z,59,SYNC:SESSIONS,10,1246
24139,Choose Fonts for GUI,Pesala,2018-01-31T09:29:35.587Z,56,GUI:FONTS:FONT SIZE,3,1066
24268,Mouse Gesture Trails,longvoid,2018-01-31T13:51:45.535Z,55,MOUSE GESTURES,13,1934
31874,Enable Hardware Accelerated Video (vaapi),Lalel,2018-11-01T13:48:34.919Z,54,VIDEO:IN PROGRESS,29,2852
24549,Different cookies/accounts for same site (Multi-Account Containers),kurevska_registracia,2018-02-02T12:03:20.944Z,53,COOKIES:SITE SETTINGS,5,1696
37364,Customisable Toolbars,Pesala,2019-05-14T12:32:23.743Z,52,GUI:TOOLBAR:BUTTONS,14,1288
24219,Additional Features for the Extension Icon Container,luetage,2018-01-31T10:41:44.247Z,51,EXTENSION:GUI:CUSTOMIZE:TOOLBAR,11,2217
24407,M3 mail & RSS-reader,NoAidee,2018-02-01T11:56:35.690Z,51,IN PROGRESS,142,10648
25413,Allow Automatic Update of the Browser,CheVe11e_191,2018-02-24T00:19:52.344Z,51,IN PROGRESS:BACKGROUND:UPDATE:AUTOUPDATE,29,4625
25366,Show icons in context menu,bimlas,2018-02-22T22:30:32.296Z,49,CONTEXT MENU:ICONS,7,1364
29761,Synchronization of entire history,ROTFL,2018-09-03T10:24:33.190Z,49,SYNC:HISTORY,15,992
24224,True Alphabetical Bookmarks Sorting,luetage,2018-01-31T10:47:46.307Z,48,SORT BOOKMARKS:ALPHABETICALLY,10,1100
